ID,kind,number,harai,ninki
201901010411,三連複,1 - 10 - 11,2700,4
201901010411,三連単,11 → 10 → 1,7700,6
201901010412,単勝,3,170,1
201901010412,複勝,3br11br1,110br140br270,1br2br6
201901010412,枠連,3 - 8,310,1
201901010412,馬連,3 - 11,360,1
201901010412,ワイド,3 - 11br1 - 3br1 - 11,190br440br860,1br5br13
201901010412,馬単,3 → 11,540,1
201901010412,三連複,1 - 3 - 11,1710,5
201901010412,三連単,3 → 11 → 1,4190,6
201901010501,単勝,13,170,1
201901010501,複勝,13br10br8,110br170br170,1br4br3
201901010501,枠連,6 - 8,770,2
201901010501,馬連,10 - 13,750,3
201901010501,ワイド,10 - 13br8 - 13br8 - 10,280br290br660,2br3br8
201901010501,馬単,13 → 10,1110,3
201901010501,三連複,8 - 10 - 13,1200,3
201901010501,三連単,13 → 10 → 8,4270,6
201901010502,単勝,5,270,1
201901010502,複勝,5br9br8,140br140br460,1br2br8
201901010502,枠連,4 - 6,490,1
201901010502,馬連,5 - 9,510,1
201901010502,ワイド,5 - 9br5 - 8br8 - 9,"240br900br1,080",1br11br14
201901010502,馬単,5 → 9,990,1
201901010502,三連複,5 - 8 - 9,2790,6
201901010502,三連単,5 → 9 → 8,10030,19
201901010503,単勝,10,950,4
201901010503,複勝,10br6br2,"290br3,920br200",4br13br2
201901010503,枠連,4 - 6,25370,30
201901010503,馬連,6 - 10,95940,69
201901010503,ワイド,6 - 10br2 - 10br2 - 6,"19,380br930br10,770",65br8br53
201901010503,馬単,10 → 6,139220,127
201901010503,三連複,2 - 6 - 10,159840,180
201901010503,三連単,10 → 6 → 2,1063410,1065
201901010504,単勝,5,5040,10
201901010504,複勝,5br1br12,970br160br590,11br2br8
201901010504,枠連,1 - 3,1490,6
201901010504,馬連,1 - 5,6990,17
201901010504,ワイド,1 - 5br5 - 12br1 - 12,"2,200br8,040br1,260",21br60br14
201901010504,馬単,5 → 1,20670,52
201901010504,三連複,1 - 5 - 12,37310,100
201901010504,三連単,5 → 1 → 12,348780,703
201901010505,単勝,3,300,1
201901010505,複勝,3br14br12,140br520br160,1br7br2
201901010505,枠連,3 - 8,3960,13
201901010505,馬連,3 - 14,4700,16
201901010505,ワイド,3 - 14br3 - 12br12 - 14,"1,620br300br1,430",18br1br16
201901010505,馬単,3 → 14,6610,25
201901010505,三連複,3 - 12 - 14,3520,12
201901010505,三連単,3 → 14 → 12,29580,102
201901010506,単勝,9,300,2
201901010506,複勝,9br6br3,250br800br520,2br7br3
201901010506,枠連,4 - 6,2150,7
201901010506,馬連,6 - 9,3720,14
201901010506,ワイド,6 - 9br3 - 9br3 - 6,"790br670br2,580",8br5br23
201901010506,馬単,9 → 6,5610,19
201901010506,三連複,3 - 6 - 9,13400,37
201901010506,三連単,9 → 6 → 3,53050,136
201901010507,単勝,3,180,1
201901010507,複勝,3br4br12,110br250br140,1br5br2
201901010507,枠連,3 - 4,1040,5
201901010507,馬連,3 - 4,1240,5
201901010507,ワイド,3 - 4br3 - 12br4 - 12,370br190br810,5br1br10
201901010507,馬単,3 → 4,1750,5
201901010507,三連複,3 - 4 - 12,1260,4
201901010507,三連単,3 → 4 → 12,5070,12
201901010508,単勝,10,1300,7
201901010508,複勝,10br12br4,500br410br320,10br7br4
201901010508,枠連,7 - 8,880,3
201901010508,馬連,10 - 12,10850,46
201901010508,ワイド,10 - 12br4 - 10br4 - 12,"3,310br2,360br2,790",50br30br39
201901010508,馬単,10 → 12,17300,78
201901010508,三連複,4 - 10 - 12,36380,134
201901010508,三連単,10 → 12 → 4,204170,721
201901010509,単勝,1,190,1
201901010509,複勝,1br8br5,110br190br160,1br4br2
201901010509,枠連,1 - 6,610,2
201901010509,馬連,1 - 8,860,3
201901010509,ワイド,1 - 8br1 - 5br5 - 8,330br230br620,3br1br7
201901010509,馬単,1 → 8,1010,3
201901010509,三連複,1 - 5 - 8,1390,2
201901010509,三連単,1 → 8 → 5,4410,5
201901010510,単勝,11,240,1
201901010510,複勝,11br6br3,120br150br120,2br4br1
201901010510,枠連,6 - 8,670,3
201901010510,馬連,6 - 11,800,2
201901010510,ワイド,6 - 11br3 - 11br3 - 6,280br190br310,2br1br4
201901010510,馬単,11 → 6,1080,3
201901010510,三連複,3 - 6 - 11,670,1
201901010510,三連単,11 → 6 → 3,2760,4
201901010511,単勝,7,700,4
201901010511,複勝,7br2br10,170br190br130,3br5br1
201901010511,枠連,2 - 6,1410,9
201901010511,馬連,2 - 7,1920,8
201901010511,ワイド,2 - 7br7 - 10br2 - 10,660br390br470,9br3br4
201901010511,馬単,7 → 2,3810,17
201901010511,三連複,2 - 7 - 10,2250,6
201901010511,三連単,7 → 2 → 10,15790,46
201901010512,単勝,2,1970,6
201901010512,複勝,2br3br8,680br340br740,7br5br8
201901010512,枠連,2 - 3,4310,14
201901010512,馬連,2 - 3,4370,14
201901010512,ワイド,2 - 3br2 - 8br3 - 8,"1,090br3,300br2,210",13br28br23
201901010512,馬単,2 → 3,10250,34
201901010512,三連複,2 - 3 - 8,23240,52
201901010512,三連単,2 → 3 → 8,153600,303
201901010601,単勝,4,200,1
201901010601,複勝,4br7br10,110br120br170,1br2br4
201901010601,枠連,4 - 7,360,1
201901010601,馬連,4 - 7,390,1
201901010601,ワイド,4 - 7br4 - 10br7 - 10,180br310br560,1br3br8
201901010601,馬単,4 → 7,670,1
201901010601,三連複,4 - 7 - 10,970,2
201901010601,三連単,4 → 7 → 10,2670,2
201901010602,単勝,3,280,1
201901010602,複勝,3br12br5,120br200br300,1br4br5
201901010602,枠連,3 - 7,620,2
201901010602,馬連,3 - 12,970,3
201901010602,ワイド,3 - 12br3 - 5br5 - 12,"480br670br1,350",3br5br16
201901010602,馬単,3 → 12,1660,4
201901010602,三連複,3 - 5 - 12,3980,11
201901010602,三連単,3 → 12 → 5,13920,28
201901010603,単勝,3,470,2
201901010603,複勝,3br2br10,160br140br440,2br1br9
201901010603,枠連,2 - 3,600,1
201901010603,馬連,2 - 3,630,1
201901010603,ワイド,2 - 3br3 - 10br2 - 10,"290br1,620br1,390",1br24br19
201901010603,馬単,3 → 2,1500,3
201901010603,三連複,2 - 3 - 10,6790,26
201901010603,三連単,3 → 2 → 10,28820,92
201901010604,単勝,9,330,1
201901010604,複勝,9br2br1,"150br180br1,320",1br2br13
201901010604,枠連,2 - 6,640,3
201901010604,馬連,2 - 9,700,1
201901010604,ワイド,2 - 9br1 - 9br1 - 2,"350br4,380br4,950",1br39br41
201901010604,馬単,9 → 2,1230,1
201901010604,三連複,1 - 2 - 9,14930,46
201901010604,三連単,9 → 2 → 1,45390,125
201901010605,単勝,9,150,1
201901010605,複勝,9br11br2,110br160br170,1br3br4
201901010605,枠連,7 - 8,350,1
201901010605,馬連,9 - 11,490,2
201901010605,ワイド,9 - 11br2 - 9br2 - 11,230br260br620,2br3br8
201901010605,馬単,9 → 11,590,2
201901010605,三連複,2 - 9 - 11,1190,3
201901010605,三連単,9 → 11 → 2,2620,4
201901010606,単勝,13,3480,10
201901010606,複勝,13br2br3,640br490br280,10br7br4
201901010606,枠連,2 - 8,21110,32
201901010606,馬連,2 - 13,22370,50
201901010606,ワイド,2 - 13br3 - 13br2 - 3,"6,380br3,220br1,900",51br40br24
201901010606,馬単,13 → 2,41170,102
201901010606,三連複,2 - 3 - 13,44500,134
201901010606,三連単,13 → 2 → 3,346300,858
201901010607,単勝,3,400,1
201901010607,複勝,3br12br14,"190br750br1,610",1br9br11
201901010607,枠連,3 - 7,1330,5
201901010607,馬連,3 - 12,7600,24
201901010607,ワイド,3 - 12br3 - 14br12 - 14,"2,930br6,100br14,730",30br45br70
201901010607,馬単,3 → 12,9940,36
201901010607,三連複,3 - 12 - 14,113500,177
201901010607,三連単,3 → 12 → 14,441100,795
201901010608,単勝,9,2250,10
201901010608,複勝,9br1br16,530br460br350,9br7br5
201901010608,枠連,1 - 5,5120,18
201901010608,馬連,1 - 9,13530,53
